Threads,N,Time(s),Speedup,Efficiency(%)
1,100,0.000259269,1,100
2,100,0.00073803,0.351299,17.5649
4,100,0.00316112,0.0820181,2.05045
8,100,0.00510605,0.0507768,0.63471
16,100,0.00627168,0.0413396,0.258373
